"","longitude","latitude","datetime"
"218",-71.112121,42.328691,2022-01-01 14:46:58
"219",-71.112117,42.328643,2022-01-01 14:47:00
"220",-71.11211,42.328609,2022-01-01 14:47:01
"221",-71.112108,42.328558,2022-01-01 14:47:02
"222",-71.112106,42.328523,2022-01-01 14:47:03
"223",-71.11211,42.328487,2022-01-01 14:47:05
"224",-71.112111,42.328435,2022-01-01 14:47:06
"225",-71.112111,42.328394,2022-01-01 14:47:08
"226",-71.112115,42.328348,2022-01-01 14:47:09
"227",-71.11213,42.328311,2022-01-01 14:47:11
"228",-71.112141,42.328272,2022-01-01 14:47:12
"229",-71.112142,42.328258,2022-01-01 14:47:13
"230",-71.112149,42.328224,2022-01-01 14:47:14
"231",-71.112152,42.328211,2022-01-01 14:47:15
"232",-71.112162,42.328182,2022-01-01 14:47:16
"233",-71.112174,42.328151,2022-01-01 14:47:18
"234",-71.112188,42.328122,2022-01-01 14:47:19
"235",-71.112201,42.328094,2022-01-01 14:47:21
"236",-71.112216,42.328062,2022-01-01 14:47:22
"237",-71.112227,42.328034,2022-01-01 14:47:24
"238",-71.112241,42.328004,2022-01-01 14:47:25
"239",-71.112261,42.327974,2022-01-01 14:47:27
"240",-71.112278,42.327941,2022-01-01 14:47:28
"241",-71.112292,42.327903,2022-01-01 14:47:30
"242",-71.112307,42.327864,2022-01-01 14:47:31
"243",-71.112319,42.327837,2022-01-01 14:47:32
"244",-71.112347,42.327795,2022-01-01 14:47:34
"245",-71.112355,42.327778,2022-01-01 14:47:35
"246",-71.112362,42.327761,2022-01-01 14:47:36
"247",-71.112383,42.327723,2022-01-01 14:47:37
"248",-71.112415,42.327677,2022-01-01 14:47:39
"249",-71.112427,42.327662,2022-01-01 14:47:40
"250",-71.11244,42.327647,2022-01-01 14:47:41
"251",-71.112474,42.327604,2022-01-01 14:47:43
"252",-71.112486,42.327589,2022-01-01 14:47:44
"253",-71.112499,42.327575,2022-01-01 14:47:45
"254",-71.112523,42.32755,2022-01-01 14:47:46
"255",-71.112543,42.327523,2022-01-01 14:47:48
"256",-71.112563,42.327499,2022-01-01 14:47:49
"257",-71.112588,42.327471,2022-01-01 14:47:51
"258",-71.112614,42.327448,2022-01-01 14:47:52
"259",-71.112634,42.327424,2022-01-01 14:47:54
"260",-71.112658,42.327399,2022-01-01 14:47:55
"261",-71.112696,42.327359,2022-01-01 14:47:57
"262",-71.112706,42.327344,2022-01-01 14:47:58
"263",-71.112716,42.327329,2022-01-01 14:47:59
"264",-71.112734,42.3273,2022-01-01 14:48:00
"265",-71.112755,42.327274,2022-01-01 14:48:02
"266",-71.112785,42.327243,2022-01-01 14:48:03
"267",-71.112808,42.327216,2022-01-01 14:48:05
